Repository;Datum;Views;Clones;Unique Views;Unique Clones
.github;2026-06-10;0;12;0;8
.github;2026-06-09;0;17;0;10
.github;2026-06-08;0;16;0;10
.github;2026-06-07;0;23;0;12
.github;2026-06-06;0;13;0;8
.github;2026-06-05;0;7;0;6
.github;2026-06-04;0;15;0;9
.github;2026-06-03;0;14;0;9
.github;2026-06-02;0;4;0;4
.github;2026-06-01;0;13;0;8
.github;2026-05-31;0;13;0;8
.github;2026-05-30;0;19;0;11
.github;2026-05-29;1;18;1;10
.github;2026-05-28;0;8;0;5
2024_CADS_Immersion_Best_Notebooks;2026-06-12;0;0;0;0
2024_CADS_Immersion_Best_Notebooks;2026-06-11;0;0;0;0
2024_CADS_Immersion_Best_Notebooks;2026-06-10;0;0;0;0
2024_CADS_Immersion_Best_Notebooks;2026-06-09;0;0;0;0
2024_CADS_Immersion_Best_Notebooks;2026-06-08;0;0;0;0
2024_CADS_Immersion_Best_Notebooks;2026-06-07;0;0;0;0
2024_CADS_Immersion_Best_Notebooks;2026-06-06;0;1;0;1
2024_CADS_Immersion_Best_Notebooks;2026-06-05;2;0;2;0
2024_CADS_Immersion_Best_Notebooks;2026-06-04;1;0;1;0
2024_CADS_Immersion_Best_Notebooks;2026-06-03;0;0;0;0
2024_CADS_Immersion_Best_Notebooks;2026-06-02;0;0;0;0
2024_CADS_Immersion_Best_Notebooks;2026-06-01;0;0;0;0
2024_CADS_Immersion_Best_Notebooks;2026-05-31;0;1;0;1
2024_CADS_Immersion_Best_Notebooks;2026-05-30;2;0;1;0
2025_CADS_Completion_Best_Notebooks;2026-06-12;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-06-11;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-06-10;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-06-09;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-06-08;0;0;0;0
2025_CADS_Completion_Best_Notebooks;2026-06-07;0;0;0;0
